                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1372,                 2.7562,                 1.3226,                0.50117,                0.42515,                0.46813,                0.29612,                 1.0908,                  2.139,                 1.4132,             0.00030027,             0.00030027,             0.00030027
                      2,                 1.1448,                 1.8239,                 1.3265,                0.44265,                0.58381,                0.46823,                0.27842,                 1.2738,                 2.6106,                 1.5914,             0.00060128,             0.00060128,             0.00060128
                      3,                  1.138,                  1.717,                 1.3202,                0.54181,                0.53169,                 0.5373,                0.32515,                 1.1873,                  2.102,                 1.5327,             0.00090029,             0.00090029,             0.00090029
                      4,                 1.1356,                 1.5674,                 1.2936,                0.60467,                0.62061,                0.63428,                0.39323,                 1.1972,                 1.5518,                 1.4876,                 0.0009,                 0.0009,                 0.0009
                      5,                 1.1204,                 1.4596,                 1.2839,                0.56392,                0.61857,                0.61676,                 0.3915,                 1.1655,                 1.5885,                 1.4595,                 0.0009,                 0.0009,                 0.0009
                      6,                 1.0888,                  1.363,                 1.2755,                0.59601,                0.61613,                0.61458,                0.40172,                 1.1373,                 1.3951,                 1.3956,               0.000897,               0.000897,               0.000897
                      7,                 1.0718,                 1.3038,                 1.2654,                0.66833,                0.66926,                0.69131,                0.45659,                 1.1505,                 1.2832,                 1.4663,               0.000894,               0.000894,               0.000894
                      8,                 1.0736,                 1.2371,                 1.2514,                 0.7071,                0.67637,                0.73957,                0.49126,                 1.1247,                 1.2422,                  1.408,               0.000891,               0.000891,               0.000891
                      9,                  1.042,                 1.2296,                 1.2249,                0.68901,                 0.6967,                0.73273,                0.49382,                 1.1053,                  1.185,                 1.3719,               0.000888,               0.000888,               0.000888
                     10,                  1.016,                  1.103,                 1.2283,                0.73269,                0.70591,                0.76931,                0.52725,                 1.0518,                 1.1177,                 1.3476,               0.000885,               0.000885,               0.000885
                     11,                0.97321,                 1.0341,                 1.1987,                0.75365,                0.69426,                0.77133,                0.52703,                  1.043,                 1.1629,                 1.3362,               0.000882,               0.000882,               0.000882
                     12,                0.97483,                 1.0079,                 1.1766,                0.73167,                0.73507,                0.77361,                0.54953,                0.99357,                 1.0652,                 1.2971,               0.000879,               0.000879,               0.000879
                     13,                0.97384,                0.99594,                 1.1861,                0.73752,                0.73747,                0.79692,                0.56627,                 1.0066,                0.97348,                 1.3177,               0.000876,               0.000876,               0.000876
                     14,                0.94982,                0.95331,                 1.1792,                0.72564,                0.72822,                0.79139,                0.55841,                0.98287,                0.99362,                 1.2735,               0.000873,               0.000873,               0.000873
                     15,                0.93327,                0.93203,                 1.1736,                0.76712,                0.71052,                0.79776,                0.57659,                0.96257,                0.96479,                 1.2796,                0.00087,                0.00087,                0.00087
                     16,                0.94704,                0.94224,                 1.1692,                0.76133,                0.74762,                0.81503,                0.59166,                0.96296,                0.99412,                 1.2541,               0.000867,               0.000867,               0.000867
                     17,                0.94515,                0.93307,                 1.1734,                0.78573,                0.74506,                0.80291,                0.58098,                 0.9802,                0.97986,                 1.2821,               0.000864,               0.000864,               0.000864
