                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.83547,                0.80606,                 1.1898,                0.48584,                0.00496,                0.07008,                0.05973,                    nan,                    nan,                    nan,             0.00069902,             0.00069902,             0.00069902
                     38,                0.81872,                 0.7604,                 1.1681,                0.65345,                0.00501,                0.10316,                0.09224,                    nan,                    nan,                    nan,             0.00069302,             0.00069302,             0.00069302
                     39,                0.82462,                0.75477,                 1.1731,                0.75183,                0.00501,                0.05057,                0.04307,                    nan,                    nan,                    nan,             0.00068702,             0.00068702,             0.00068702
                     40,                0.81509,                0.73985,                 1.1639,                 0.8215,                0.00501,                0.11554,                0.10303,                    nan,                    nan,                    nan,             0.00068102,             0.00068102,             0.00068102
                     41,                0.80381,                0.74229,                 1.1546,                0.57628,                0.00501,                0.05969,                0.05394,                    nan,                    nan,                    nan,             0.00067502,             0.00067502,             0.00067502
                     42,                0.80213,                0.72446,                  1.157,                0.62113,                0.00501,                0.06712,                0.05058,                    nan,                    nan,                    nan,             0.00066902,             0.00066902,             0.00066902
                     43,                0.81532,                0.73074,                 1.1761,                 0.6273,                0.00499,                0.04575,                0.04045,                    nan,                    nan,                    nan,             0.00066302,             0.00066302,             0.00066302
                     44,                0.82431,                0.73339,                 1.1789,                0.77882,                0.00501,                0.08435,                 0.0751,                    nan,                    nan,                    nan,             0.00065703,             0.00065703,             0.00065703
                     45,                0.79705,                0.73464,                 1.1647,                0.09915,                0.00501,                 0.0535,                 0.0486,                    nan,                    nan,                    nan,             0.00065103,             0.00065103,             0.00065103
                     46,                0.78629,                0.71859,                 1.1421,                0.68754,                0.00397,                0.05271,                 0.0478,                    nan,                    nan,                    nan,             0.00064503,             0.00064503,             0.00064503
                     47,                0.79512,                0.69982,                 1.1546,                0.62796,                0.00501,                0.06207,                0.05543,                    nan,                    nan,                    nan,             0.00063903,             0.00063903,             0.00063903
                     48,                0.78089,                0.68988,                 1.1414,                 0.6266,                0.00501,                0.08197,                0.06583,                    nan,                    nan,                    nan,             0.00063303,             0.00063303,             0.00063303
                     49,                0.78658,                0.69096,                 1.1419,                0.14179,                0.00501,                0.06403,                0.05721,                    nan,                    nan,                    nan,             0.00062703,             0.00062703,             0.00062703
                     50,                0.76914,                0.68803,                 1.1386,                0.62739,                0.00501,                0.08714,                0.07705,                    nan,                    nan,                    nan,             0.00062103,             0.00062103,             0.00062103
                     51,                0.75354,                0.67005,                 1.1367,                0.60706,                  0.005,                0.08631,                  0.074,                    nan,                    nan,                    nan,             0.00061503,             0.00061503,             0.00061503
                     52,                0.76812,                0.66841,                 1.1418,                0.65239,                0.00501,                0.07603,                0.06274,                    nan,                    nan,                    nan,             0.00060903,             0.00060903,             0.00060903
                     53,                0.76675,                0.67185,                 1.1454,                0.67444,                0.00501,                0.14245,                0.12345,                    nan,                    nan,                    nan,             0.00060303,             0.00060303,             0.00060303
                     54,                0.75807,                0.63817,                 1.1246,                0.55678,                  0.005,                0.13862,                0.12274,                    nan,                    nan,                    nan,             0.00059703,             0.00059703,             0.00059703
                     55,                0.75223,                0.64045,                 1.1224,                0.56682,                0.00501,                0.07978,                0.06631,                    nan,                    nan,                    nan,             0.00059103,             0.00059103,             0.00059103
                     56,                0.74185,                0.63843,                 1.1179,                0.71721,                0.00501,                0.14847,                0.12499,                    nan,                    nan,                    nan,             0.00058503,             0.00058503,             0.00058503
                     57,                0.74436,                 0.6339,                 1.1103,                  0.726,                0.00501,                0.16039,                0.13723,                    nan,                    nan,                    nan,             0.00057903,             0.00057903,             0.00057903
                     58,                0.72613,                  0.614,                 1.1136,                0.62107,                0.00501,                0.11523,                0.10479,                    nan,                    nan,                    nan,             0.00057303,             0.00057303,             0.00057303
                     59,                0.73236,                0.62854,                 1.1151,                0.46959,                0.00501,                0.11153,                 0.0919,                    nan,                    nan,                    nan,             0.00056703,             0.00056703,             0.00056703
                     60,                0.71638,                0.61055,                  1.112,                0.77333,                0.00501,                0.07815,                0.07023,                    nan,                    nan,                    nan,             0.00056103,             0.00056103,             0.00056103
                     61,                0.72287,                0.62967,                 1.1081,                0.83893,                0.00501,                0.06652,                 0.0605,                    nan,                    nan,                    nan,             0.00055504,             0.00055504,             0.00055504
                     62,                0.70982,                0.61522,                 1.1046,                0.61942,                0.00498,                0.06779,                0.05641,                    nan,                    nan,                    nan,             0.00054904,             0.00054904,             0.00054904
                     63,                0.70401,                0.60014,                 1.0994,                0.69582,                0.00501,                0.10676,                0.09574,                    nan,                    nan,                    nan,             0.00054304,             0.00054304,             0.00054304
                     64,                0.69503,                0.60648,                 1.0925,                 0.7397,                  0.005,                0.10573,                0.08456,                    nan,                    nan,                    nan,             0.00053704,             0.00053704,             0.00053704
                     65,                0.69695,                0.59786,                 1.0864,                0.74729,                0.00499,                0.08657,                 0.0677,                    nan,                    nan,                    nan,             0.00053104,             0.00053104,             0.00053104
                     66,                0.71507,                0.60037,                 1.1067,                0.75276,                0.00498,                0.08166,                0.07014,                    nan,                    nan,                    nan,             0.00052504,             0.00052504,             0.00052504
                     67,                0.68741,                0.58751,                 1.0907,                0.76556,                0.00501,                0.13125,                0.09637,                    nan,                    nan,                    nan,             0.00051904,             0.00051904,             0.00051904
                     68,                0.69032,                0.59067,                  1.089,                0.75553,                0.00501,                0.10339,                0.09474,                    nan,                    nan,                    nan,             0.00051304,             0.00051304,             0.00051304
                     69,                 0.6951,                0.58263,                 1.0855,                0.81545,                0.00501,                0.11503,                0.09244,                    nan,                    nan,                    nan,             0.00050704,             0.00050704,             0.00050704
                     70,                0.67031,                0.56303,                  1.079,                0.84235,                0.00501,                0.09776,                0.08492,                    nan,                    nan,                    nan,             0.00050104,             0.00050104,             0.00050104
                     71,                 0.6813,                 0.5677,                 1.0737,                0.81082,                0.00501,                0.09822,                0.08159,                    nan,                    nan,                    nan,             0.00049504,             0.00049504,             0.00049504
                     72,                0.67353,                0.56545,                 1.0824,                0.83054,                0.00501,                0.06874,                0.05986,                    nan,                    nan,                    nan,             0.00048904,             0.00048904,             0.00048904
                     73,                0.66572,                0.56455,                 1.0736,                0.68983,                0.00501,                0.12676,                0.10797,                    nan,                    nan,                    nan,             0.00048304,             0.00048304,             0.00048304
                     74,                0.67088,                0.55972,                 1.0829,                0.81562,                0.00501,                0.09242,                0.07795,                    nan,                    nan,                    nan,             0.00047704,             0.00047704,             0.00047704
                     75,                0.65553,                0.54118,                 1.0676,                0.31434,                0.00501,                0.07471,                0.06592,                    nan,                    nan,                    nan,             0.00047104,             0.00047104,             0.00047104
                     76,                0.64934,                0.53268,                 1.0662,                0.66884,                0.00501,                0.08558,                0.07835,                    nan,                    nan,                    nan,             0.00046504,             0.00046504,             0.00046504
                     77,                0.65627,                0.55282,                 1.0746,                0.82827,                0.00501,                0.13594,                 0.1218,                    nan,                    nan,                    nan,             0.00045904,             0.00045904,             0.00045904
                     78,                0.65863,                0.53556,                 1.0698,                0.64106,                  0.005,                0.07388,                0.06317,                    nan,                    nan,                    nan,             0.00045305,             0.00045305,             0.00045305
                     79,                0.65571,                 0.5381,                 1.0685,                0.64019,                0.00501,                0.06685,                0.06053,                    nan,                    nan,                    nan,             0.00044705,             0.00044705,             0.00044705
                     80,                 0.6353,                0.52424,                 1.0578,                0.72048,                0.00501,                0.11695,                0.10597,                    nan,                    nan,                    nan,             0.00044105,             0.00044105,             0.00044105
                     81,                0.63935,                0.53039,                 1.0634,                0.63581,                  0.005,                0.07854,                0.06996,                    nan,                    nan,                    nan,             0.00043505,             0.00043505,             0.00043505
                     82,                0.62705,                0.52147,                 1.0579,                0.72457,                0.00501,                 0.1885,                0.16523,                    nan,                    nan,                    nan,             0.00042905,             0.00042905,             0.00042905
                     83,                0.63122,                0.50975,                 1.0602,                0.79732,                0.00501,                 0.2526,                 0.2309,                    nan,                    nan,                    nan,             0.00042305,             0.00042305,             0.00042305
                     84,                0.63302,                0.51805,                 1.0556,                0.77319,                0.00498,                0.10746,                0.08863,                    nan,                    nan,                    nan,             0.00041705,             0.00041705,             0.00041705
                     85,                0.62882,                0.49893,                 1.0526,                0.77836,                0.00501,                0.18501,                0.17516,                    nan,                    nan,                    nan,             0.00041105,             0.00041105,             0.00041105
                     86,                0.62922,                0.51462,                  1.051,                0.30952,                0.00501,                0.15764,                0.13347,                    nan,                    nan,                    nan,             0.00040505,             0.00040505,             0.00040505
                     87,                 0.6124,                 0.5209,                 1.0447,                0.50557,                  0.005,                0.10878,                0.09808,                    nan,                    nan,                    nan,             0.00039905,             0.00039905,             0.00039905
                     88,                0.60226,                0.49613,                 1.0419,                0.35714,                0.00501,                0.18186,                0.16368,                    nan,                    nan,                    nan,             0.00039305,             0.00039305,             0.00039305
                     89,                0.61727,                0.50669,                  1.045,                0.80982,                0.00501,                0.11548,                0.10478,                    nan,                    nan,                    nan,             0.00038705,             0.00038705,             0.00038705
                     90,                0.60763,                0.50192,                  1.036,                0.76809,                0.00498,                0.09353,                0.08591,                    nan,                    nan,                    nan,             0.00038105,             0.00038105,             0.00038105
                     91,                0.60467,                0.48319,                  1.037,                0.70971,                0.00501,                0.12815,                0.11472,                    nan,                    nan,                    nan,             0.00037505,             0.00037505,             0.00037505
                     92,                0.59584,                0.49929,                 1.0433,                0.72285,                0.00501,                0.11487,                0.10365,                    nan,                    nan,                    nan,             0.00036905,             0.00036905,             0.00036905
                     93,                0.60279,                0.49151,                 1.0294,                0.70414,                0.00501,                0.14807,                0.13081,                    nan,                    nan,                    nan,             0.00036305,             0.00036305,             0.00036305
                     94,                0.58224,                0.47715,                 1.0252,                0.27143,                0.00501,                0.13897,                0.12507,                    nan,                    nan,                    nan,             0.00035706,             0.00035706,             0.00035706
                     95,                0.58466,                0.49299,                 1.0307,                0.71693,                  0.005,                0.16588,                 0.1496,                    nan,                    nan,                    nan,             0.00035106,             0.00035106,             0.00035106
                     96,                0.56838,                 0.4809,                 1.0284,                0.71534,                0.00501,                0.14564,                0.13045,                    nan,                    nan,                    nan,             0.00034506,             0.00034506,             0.00034506
                     97,                0.58587,                0.47946,                 1.0237,                0.73953,                0.00501,                0.16588,                0.14843,                    nan,                    nan,                    nan,             0.00033906,             0.00033906,             0.00033906
                     98,                0.57681,                0.46722,                 1.0198,                0.82652,                0.00501,                 0.1447,                0.12961,                    nan,                    nan,                    nan,             0.00033306,             0.00033306,             0.00033306
                     99,                0.56311,                0.46233,                 1.0163,                0.80201,                0.00501,                 0.1329,                0.11909,                    nan,                    nan,                    nan,             0.00032706,             0.00032706,             0.00032706
                    100,                 0.5639,                 0.4625,                 1.0202,                0.76759,                0.00501,                0.17806,                0.15939,                    nan,                    nan,                    nan,             0.00032106,             0.00032106,             0.00032106
                    101,                0.55971,                0.45987,                 1.0148,                0.30952,                0.00501,                0.15749,                0.13803,                    nan,                    nan,                    nan,             0.00031506,             0.00031506,             0.00031506
                    102,                0.57074,                0.45965,                 1.0169,                0.75598,                0.00501,                0.11873,                 0.1059,                    nan,                    nan,                    nan,             0.00030906,             0.00030906,             0.00030906
                    103,                0.55816,                0.45384,                 1.0082,                0.92371,                0.00501,                0.17142,                0.15349,                    nan,                    nan,                    nan,             0.00030306,             0.00030306,             0.00030306
                    104,                0.56072,                0.46733,                 1.0141,                0.31429,                0.00501,                0.16034,                0.13886,                    nan,                    nan,                    nan,             0.00029706,             0.00029706,             0.00029706
                    105,                0.55304,                0.45879,                 1.0082,                 0.7089,                0.00501,                0.14016,                0.11799,                    nan,                    nan,                    nan,             0.00029106,             0.00029106,             0.00029106
                    106,                0.54568,                0.44726,                 1.0042,                0.57828,                0.00499,                 0.1407,                0.12519,                    nan,                    nan,                    nan,             0.00028506,             0.00028506,             0.00028506
                    107,                0.54045,                0.44462,                  1.005,                0.87048,                0.00501,                0.14372,                0.12607,                    nan,                    nan,                    nan,             0.00027906,             0.00027906,             0.00027906
                    108,                0.53899,                0.45167,                 1.0005,                0.69458,                0.00499,                0.15417,                0.13601,                    nan,                    nan,                    nan,             0.00027306,             0.00027306,             0.00027306
                    109,                0.54783,                0.44534,                 1.0112,                0.71188,                0.00501,                0.13492,                0.12256,                    nan,                    nan,                    nan,             0.00026706,             0.00026706,             0.00026706
                    110,                0.52867,                0.43128,                 0.9977,                0.57252,                0.00501,                0.16951,                 0.1549,                    nan,                    nan,                    nan,             0.00026106,             0.00026106,             0.00026106
                    111,                0.53649,                0.42951,                0.99692,                0.71996,                0.00498,                0.12439,                0.11099,                    nan,                    nan,                    nan,             0.00025507,             0.00025507,             0.00025507
