                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1398,                  2.747,                 1.3204,                0.46199,                0.51679,                 0.5081,                0.30941,                 1.1265,                 2.1246,                 1.4469,             0.00030027,             0.00030027,             0.00030027
                      2,                  1.148,                 1.8447,                 1.3228,                0.43882,                0.62139,                0.51425,                0.31922,                 1.1803,                  1.823,                 1.4586,              0.0005973,              0.0005973,              0.0005973
                      3,                 1.1355,                 1.7349,                  1.319,                 0.6218,                0.55857,                0.57957,                0.35886,                 1.1361,                 1.8732,                 1.4817,             0.00088833,             0.00088833,             0.00088833
                      4,                  1.129,                 1.5556,                 1.2857,                 0.5105,                0.50173,                0.46677,                0.29814,                 1.2287,                 2.2241,                  1.563,               0.000882,               0.000882,               0.000882
                      5,                 1.1231,                  1.474,                 1.2946,                0.60259,                0.58259,                0.61062,                0.40109,                 1.1642,                 1.5011,                 1.4473,               0.000882,               0.000882,               0.000882
                      6,                   1.09,                  1.358,                 1.2742,                0.67126,                0.69019,                 0.7307,                0.48418,                 1.0793,                 1.2143,                 1.3782,               0.000873,               0.000873,               0.000873
                      7,                 1.0589,                 1.2808,                 1.2619,                0.61751,                 0.7152,                0.71638,                0.47803,                  1.067,                   1.21,                 1.3626,               0.000864,               0.000864,               0.000864
                      8,                 1.0606,                 1.2267,                 1.2411,                0.73102,                0.72133,                0.77058,                0.51892,                 1.0597,                 1.1465,                 1.3557,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.0187,                  1.148,                 1.2245,                 0.7429,                0.69274,                  0.758,                0.50429,                 1.0635,                 1.2246,                 1.3624,             0.00084601,             0.00084601,             0.00084601
                     10,                0.99933,                  1.094,                 1.2068,                0.70274,                0.72952,                0.77515,                0.55351,                 1.0169,                 1.0219,                 1.3249,             0.00083701,             0.00083701,             0.00083701
                     11,                 1.0063,                 1.0953,                 1.2172,                0.67953,                0.70342,                0.72438,                0.49316,                 1.0908,                 1.1907,                 1.3714,             0.00082801,             0.00082801,             0.00082801
                     12,                0.98308,                 1.0558,                 1.2006,                0.80079,                0.70813,                0.81203,                0.57436,                 1.0156,                  1.034,                 1.3144,             0.00081901,             0.00081901,             0.00081901
                     13,                0.99067,                      1,                 1.2011,                0.73751,                0.76014,                 0.8008,                0.57389,                 1.0071,                 1.0143,                 1.3123,             0.00081001,             0.00081001,             0.00081001
